id,code,title,category,geo_city,geo_province,marketing_pdf
266,WHF250,Harbour Front Centre,Harbour Front Centre,North Vancouver,BC,HarbourFrontCentre.pdf
267,WHP008,Harbour Plaza,Harbour Plaza,North Vancouver,BC,HarbourPlaza.pdf
268,WMP634,McKenzie Professional Centre,McKenzie Professional Centre,Victoria,BC,
269,WPP932,Pemberton Plaza,Pemberton Plaza,North Vancouver,BC,PembertonPlaza.pdf
270,WPP854,Pemberton Plaza,Pemberton Plaza II,North Vancouver,BC,
271,WSN578,Shops at New West,Shops at New West,New Westminster,BC,Shops_at_new_west_digital_07062017_DIRECT UPLOAD.pdf
272,WTM451,Time Marketplace,Time Marketplace,North Vancouver,BC,TimeMarketplace.pdf
273,WTV783,Tuscany Village,Tuscany Village Shopping Centre,Victoria,BC,TuscanyVillageShoppingCentre.pdf
274,WVP222,Victoria Medical & Professional Building,Victoria Medical & Professional Building,Victoria,BC,
275,C1B123,One Bloor Street East,One Bloor Street East,Toronto,ON,
276,ESP469,Pharmaprix St-Denis,Pharmaprix St-Denis,Montr?al,QC,
277,EEG841,Edifice Gordon,Edifice Gordon,Verdun,QC,
278,ECS011,Carrefour St-David,Carrefour St-David,Beauport,QC,CarrefourSt-David-EN.pdf
